transformer_id,region,zone_type,lat,lon,supply_kwh,meter_sum_kwh,loss_percent,risk_score,status,is_anomaly
TX-0001,Jalandhar,Mixed Urban,31.37107,75.5994,47.31,43.22,8.65,17.3,SAFE,0
TX-0002,Patiala,Residential/Institutional,30.37642,76.39701,307.31,272.3,11.39,22.8,SAFE,0
TX-0003,Mullanpur,Rural/Agricultural,30.74233,76.61148,47.73,41.5,13.05,26.1,SAFE,0
TX-0004,Ludhiana,Industrial/Urban,30.88012,75.86849,57.49,41.77,27.35,72.5,CRITICAL,1
TX-0005,Mullanpur,Rural/Agricultural,30.74107,76.64472,283.75,234.31,17.42,34.8,WARNING,0
TX-0006,Ludhiana,Industrial/Urban,30.85751,75.90219,296.1,278.03,6.1,12.2,SAFE,0
TX-0007,Amritsar,Commercial/Old City,31.65242,74.86632,151.04,136.5,9.63,19.3,SAFE,0
TX-0008,Ludhiana,Industrial/Urban,30.87688,75.87355,69.6,62.86,9.69,19.4,SAFE,0
TX-0009,Bathinda,Thermal/Industrial,30.25796,74.97301,68.64,42.06,38.73,79.1,CRITICAL,1
TX-0010,Mullanpur,Rural/Agricultural,30.7407,76.59782,332.1,277.28,16.51,33.0,WARNING,0
TX-0011,Amritsar,Commercial/Old City,31.68053,74.883,38.12,34.7,8.98,18.0,SAFE,0
TX-0012,Ludhiana,Industrial/Urban,30.92822,75.82717,225.8,201.81,10.62,21.2,SAFE,0
TX-0013,Patiala,Residential/Institutional,30.36693,76.3443,153.67,89.82,41.55,82.6,CRITICAL,1
TX-0014,Ludhiana,Industrial/Urban,30.85736,75.8384,309.24,285.16,7.79,15.6,SAFE,0
TX-0015,Patiala,Residential/Institutional,30.33702,76.34886,83.17,76.32,8.23,16.5,SAFE,0
TX-0016,Mullanpur,Rural/Agricultural,30.77048,76.64557,119.1,102.05,14.31,28.6,SAFE,0
TX-0017,Ludhiana,Industrial/Urban,30.88244,75.85816,60.46,54.71,9.51,19.0,SAFE,0
TX-0018,Bathinda,Thermal/Industrial,30.18388,74.9032,156.47,138.69,11.36,22.7,SAFE,0
TX-0019,Mullanpur,Rural/Agricultural,30.78444,76.68045,251.96,204.74,18.74,37.5,WARNING,0
TX-0020,Amritsar,Commercial/Old City,31.59621,74.85793,59.52,52.81,11.28,22.6,SAFE,0
TX-0021,Jalandhar,Mixed Urban,31.31126,75.55668,72.34,65.51,9.44,18.9,SAFE,0
TX-0022,Patiala,Residential/Institutional,30.31674,76.36131,132.68,117.73,11.27,22.5,SAFE,0
TX-0023,Ludhiana,Industrial/Urban,30.85749,75.83269,256.23,235.84,7.96,15.9,SAFE,0
TX-0024,Ludhiana,Industrial/Urban,30.95077,75.83398,72.09,66.45,7.81,15.6,SAFE,0
TX-0025,Ludhiana,Industrial/Urban,30.91444,75.87537,45.15,32.7,27.57,88.8,CRITICAL,1
TX-0026,Patiala,Residential/Institutional,30.32677,76.36112,67.77,60.44,10.82,21.6,SAFE,0
TX-0027,Patiala,Residential/Institutional,30.37144,76.41673,41.75,38.84,6.97,13.9,SAFE,0
TX-0028,Jalandhar,Mixed Urban,31.3086,75.54822,72.39,63.56,12.19,24.4,SAFE,0
TX-0029,Jalandhar,Mixed Urban,31.37005,75.56596,171.95,154.38,10.22,20.4,SAFE,0
TX-0030,Ludhiana,Industrial/Urban,30.87191,75.86144,64.25,56.99,11.31,22.6,SAFE,0
TX-0031,Ludhiana,Industrial/Urban,30.90266,75.83338,37.16,32.75,11.85,23.7,SAFE,0
